match_key,career_match_index,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,match_type,game_importance,game_importance_score,result,set_scores,set_result,set_count,set_diff,comeback_win,revenge_match,redemption_game,location,injured,sick,forfeited,favorite_match,birthday_match,is_conference,is_playoffs,is_tournament,is_championship,maxpreps
JR_09-01_CGC_2,75,JR,3,2018-09-01,Saturday,1,0,False,4,2,3,False,False,1,Clinton Grace Christian,CGC,1,False,False,regular,low,0,W,,2-1,3,1,False,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-01-2018/volleyball-18/clinton-grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=_-Hn1q-o5Uq0RqFsMu-itw
JR_09-01_SETON_3,76,JR,4,2018-09-01,Saturday,1,0,False,4,3,3,False,True,1,Seton School,SETON,1,False,False,regular,low,0,L,"12-25,14-25",0-2,2,-2,False,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-01-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-seton.htm?c=atGCfmP2hUy1VbvrAWtceA
JR_09-03_CL_1,77,JR,5,2018-09-03,Monday,1,2,False,4,1,1,,,1,Covenant Life,CL,1,False,True,regular,low,0,L,"12-25,17-25,8-25",0-3,3,-3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-03-2018/volleyball-18/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=CZtNPXZpiUmrFVsoIHCv6Q
JR_09-05_BURKE_1,78,JR,6,2018-09-05,Wednesday,1,2,False,2,1,1,,,1,Burke,BURKE,1,False,False,regular,low,0,W,"25-9,25-16,25-11",3-0,3,3,False,False,False,away,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-05-2018/volleyball-18/burke-vs-model-secondary-school-for-the-deaf.htm?c=1Cm9G6Pz20emjhgVSKRqkg
JR_09-08_SB_2,79,JR,7,2018-09-08,Saturday,2,3,False,3,2,3,False,False,1,StoneBridge,SB,1,False,False,regular,low,0,L,"10-25,22-25",0-2,2,-2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-08-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-stonebridge.htm?c=L9xD3wiE50GbYdoCDbVLxg
JR_09-08_FCHS_3,80,JR,8,2018-09-08,Saturday,2,0,False,3,3,3,False,True,1,Fredericksburg Christian,FCHS,1,False,False,regular,low,0,L,"12-25,16-25",0-2,2,-2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/9-8-2018/volleyball-18/fredericksburg-christian-vs-model-secondary-school-for-the-deaf.htm?c=2-vXWUZlM0iZyaZnCRkk7A#tab=box-score&schoolid=
JR_09-08_GC_1,81,JR,9,2018-09-08,Saturday,2,0,False,3,1,3,True,False,1,Grace Christian,GC,1,False,False,regular,low,0,W,"25-23,25-21",2-0,2,2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-08-2018/volleyball-18/grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=zy-nprt3g0m9hLnq5y_YhA
JR_09-11_RB_1,82,JR,10,2018-09-11,Tuesday,2,3,False,1,1,1,,,1,Riverdale Baptist,RB,1,False,False,regular,low,0,L,"11-25,15-25,25-27",0-3,3,-3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-11-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=3O-Bxg3_UkStKV_mObir_A
JR_09-13_SSFS_1,83,JR,11,2018-09-13,Thursday,3,2,False,2,1,1,,,1,Sandy Spring Friends,SSFS,1,False,False,regular,low,0,W,"25-13,25-11,25-14",3-0,3,3,False,False,False,away,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-13-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-sandy-spring-friends.htm?c=0FXoP1T_pkukrAqKPjs5HQ
JR_09-15_SWW_1,84,JR,12,2018-09-15,Saturday,3,2,False,2,1,1,,,1,School Without Walls,SWW,1,False,False,regular,low,0,W,,3-0,3,3,False,False,False,home,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-15-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-school-without-walls.htm?c=rQqfNw5pxECNGfKfVVq5Xg
