match_key,career_match_index,career_stage,season,season_match_number,season_stage,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,deaf_school,match_type,game_importance,game_importance_score,event_name,milestone_flag,result,set_scores,set_result,set_count,set_diff,comeback_win,revenge_match,redemption_game,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,location,injured,sick,forfeited,favorite_match,birthday_match,highlight_match,is_conference,is_playoffs,is_tournament,is_championship,maxpreps
SO_09-23_HAYNES_3,51,mid,SO,15,mid,2017-09-23,Saturday,4,0,False,5,3,4,True,False,False,1,E.L. Haynes,HAYNES,1,False,False,False,regular,low,0,Model Invitational 2017,,W,"25-7,25-14",2-0,2,2,False,False,False,50,21,0.4084507042253521,False,False,home,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-23-2017/volleyball-17/el-haynes-vs-model-secondary-school-for-the-deaf.htm?c=cynbtw0G0UG9n-coKiZarQ
SO_09-26_CL_1,52,mid,SO,16,mid,2017-09-26,Tuesday,5,3,False,1,1,1,False,,,1,Covenant Life,CL,1,False,True,False,regular,low,0,,,L,"25-20,21-25,18-25,5-25",1-3,4,-2,False,False,False,95,69,0.15853658536585366,False,True,away,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-26-2017/volleyball-17/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=MH9f-mHZHUO8KB0Yr88X_Q
SO_09-28_SJDS_1,53,mid,SO,17,mid,2017-09-28,Thursday,5,2,False,2,1,1,False,,,1,Smith Jewish Day School,SJDS,1,False,False,False,regular,low,0,,,W,"25-11,25-9,25-18",3-0,3,3,False,False,False,75,38,0.3274336283185841,False,False,away,False,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-28-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=dlMsvqtOiU2j73ldjH2LDA
SO_10-03_WIS_1,54,mid,SO,18,mid,2017-10-03,Tuesday,6,5,False,1,1,1,False,,,1,Washington International,WIS,1,False,True,False,regular,low,0,,,L,"27-29,25-21,16-25,24-26",1-3,4,-2,False,False,False,101,92,0.046632124352331605,False,True,away,False,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/10-03-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=jrstwNpaT0GWB17JC1LkMQ
SO_10-06_CSDR_3,55,mid,SO,19,mid,2017-10-06,Friday,6,3,False,4,3,4,True,False,False,1,California School for the Deaf-Riverside,CSDR,1,False,False,True,regular,low,0,SpikeOut 2017 @ Maryland,,W,"20-25,25-20,15-7",2-1,3,1,True,False,True,60,52,0.07142857142857142,False,False,neutral,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-06-2017/volleyball-17/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=00ZR6rrHq0Kljg4epxysZQ
SO_10-06_CSDF_4,56,mid,SO,20,mid,2017-10-06,Friday,6,0,False,4,4,4,True,False,True,1,California School for the Deaf,CSDF,1,False,False,True,regular,low,0,SpikeOut 2017 @ Maryland,,L,"25-19,25-20,9-15",1-2,3,-1,False,False,False,54,59,-0.04424778761061947,False,True,neutral,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-06-2017/volleyball-17/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=bdN5cNz-DU6SN0Ncuha9aA
SO_10-06_TSD_1,57,mid,SO,21,mid,2017-10-06,Friday,6,0,False,4,1,4,True,True,False,1,Texas School for the Deaf,TSD,1,False,False,True,regular,low,0,SpikeOut 2017 @ Maryland,,L,"13-25,10-25",0-2,2,-2,False,False,False,50,23,0.3698630136986301,False,True,neutral,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-06-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=gxcwFT9oGkmglyPAEnMJeQ
SO_10-06_MSD_2,58,mid,SO,22,mid,2017-10-06,Friday,6,0,False,4,2,4,True,False,False,1,Maryland School for the Deaf,MSD,1,False,True,True,regular,low,0,SpikeOut 2017 @ Maryland,,L,"21-25,19-25",0-2,2,-2,False,False,False,50,40,0.1111111111111111,False,True,neutral,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-06-2017/volleyball-17/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Mf8qEjwq6k-qnIN5HvixWw
SO_10-07_CSDR_1,59,mid,SO,23,mid,2017-10-07,Saturday,6,1,True,7,1,3,True,True,False,1,California School for the Deaf-Riverside,CSDR,2,True,False,True,regular,low,0,SpikeOut 2017 @ Maryland,,L,"25-20,19-25,9-15",1-2,3,-1,False,False,False,60,53,0.061946902654867256,False,True,neutral,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=paUazO1QJkO9ZedkCKvkeg#tab=box-score&schoolid=
SO_10-07_ISD_2,60,mid,SO,24,mid,2017-10-07,Saturday,6,0,False,7,2,3,True,False,False,1,Indiana School for the Deaf,ISD,1,False,False,True,regular,low,0,SpikeOut 2017 @ Maryland,,L,"14-25,17-25",0-2,2,-2,False,False,False,50,31,0.2345679012345679,False,True,neutral,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-07-2017/volleyball-17/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=BX9GBKTUVU6seVpehhWDvw#tab=box-score&schoolid=
